,hour,temperature,dewPoint,visibility,humidity,cloudCover,pressure,windSpeed,windBearing,precipType,icon,summary,Year,Month
2345,2010-04-08T17,64.38,59.41,10.0,0.84,0.75,1006.57,9.18,312.0,rain,partly-cloudy-day,Mostly Cloudy,2010,04
2346,2010-04-08T18,67.43,55.61,10.0,0.66,0.65,1006.63,11.98,284.0,,partly-cloudy-day,Mostly Cloudy,2010,04
2347,2010-04-08T19,65.98,51.06,10.0,0.59,0.27,1006.93,11.87,316.0,,partly-cloudy-day,Partly Cloudy,2010,04
2348,2010-04-08T20,62.79,34.34,10.0,0.34,0.0,1019.67,8.08,284.0,,clear-day,Clear,2010,04
2349,2010-04-08T21,59.28,48.32,10.0,0.67,0.26,1008.3,5.92,279.0,,partly-cloudy-night,Partly Cloudy,2010,04
2350,2010-04-08T22,58.07,48.06,10.0,0.69,0.3,1009.28,7.86,298.0,,partly-cloudy-night,Partly Cloudy,2010,04
2351,2010-04-08T23,58.45,47.8,9.76,0.68,0.66,1010.17,10.69,324.0,,partly-cloudy-night,Mostly Cloudy,2010,04
2352,2010-04-09T00,56.46,45.87,9.94,0.68,0.73,1010.42,17.59,345.0,,partly-cloudy-night,Mostly Cloudy,2010,04
2353,2010-04-09T01,54.0,42.57,9.97,0.65,0.68,1011.47,11.51,327.0,,partly-cloudy-night,Mostly Cloudy,2010,04
2354,2010-04-09T02,52.13,39.5,9.97,0.62,0.66,1012.36,15.81,320.0,,partly-cloudy-night,Mostly Cloudy,2010,04
2355,2010-04-09T03,50.97,37.45,10.0,0.6,0.61,1012.7,17.28,320.0,,partly-cloudy-night,Mostly Cloudy,2010,04
2356,2010-04-09T04,48.98,36.57,10.0,0.62,0.0,1013.67,13.51,328.0,,clear-night,Clear,2010,04
2357,2010-04-09T05,48.55,35.11,10.0,0.6,0.0,1014.01,14.48,327.0,,clear-night,Clear,2010,04
2358,2010-04-09T06,46.66,35.63,10.0,0.65,0.0,1014.37,9.77,327.0,,clear-night,Clear,2010,04
2359,2010-04-09T07,45.75,34.8,10.0,0.65,0.0,1015.76,8.77,308.0,,clear-night,Clear,2010,04
2360,2010-04-09T08,45.85,35.51,10.0,0.67,0.0,1016.76,10.52,306.0,,clear-day,Clear,2010,04
2361,2010-04-09T09,49.25,35.13,10.0,0.58,0.0,1017.63,9.93,319.0,,clear-day,Clear,2010,04
2362,2010-04-09T10,53.18,33.07,10.0,0.46,0.0,1018.03,15.71,345.0,,clear-day,Clear,2010,04
2363,2010-04-09T11,56.31,31.5,9.96,0.39,0.0,1018.66,19.78,339.0,,wind,Breezy,2010,04
2364,2010-04-09T12,58.54,33.03,10.0,0.38,0.0,1019.41,15.52,324.0,,clear-day,Clear,2010,04
2365,2010-04-09T13,61.22,33.52,10.0,0.35,0.0,1018.84,11.77,338.0,,clear-day,Clear,2010,04
2366,2010-04-09T14,63.12,32.42,9.89,0.32,0.0,1018.71,11.78,318.0,,clear-day,Clear,2010,04
2367,2010-04-09T15,65.3,33.12,9.89,0.3,0.0,1018.3,13.33,295.0,,clear-day,Clear,2010,04
2368,2010-04-09T16,66.31,32.99,10.0,0.29,0.01,1018.09,10.13,324.0,,clear-day,Clear,2010,04
2369,2010-04-09T17,67.92,32.88,10.0,0.27,0.0,1017.92,13.37,309.0,,clear-day,Clear,2010,04
2370,2010-04-09T18,67.89,32.76,10.0,0.27,0.0,1018.2,13.68,322.0,,clear-day,Clear,2010,04
2371,2010-04-09T19,65.48,32.84,10.0,0.3,0.0,1018.89,12.42,300.0,,clear-day,Clear,2010,04
